ID CLIENTE,Año,Mes,Localidad,Plan,Ruta,Folio,E.m.,Nombre o Razón Social,Domicilio de Suministro,Actividad principal,CUIT,Nivel de Tensión,Tensión,Cap.Sum.Contratadas Pico,Cap.Sum.Contratadas F.Pico,Potencia Registrada Pico,Potencia Registrada F.Pico,Consumos Energía Activa Pico,Consumos Energía Activa Resto,Consumos Energía Activa Valle,Total Consumos,Energía Reactiva,Tangente FI,Coseno FI,Tarifa Aplicada,M2,M3,Id
700002339,2019,1,ROSARIO,88,8050,1009,0,MUN. DE ROSARIO MUS.ARTE CONT.,WHEELWRIGHT Y MORENO,Museo,30-99900315-6,BT,0,,,,,1622,4278,1253,7153,3347,,,,,,188703950
700003201,2019,1,ROSARIO,89,8050,454,0,MUN. DE ROSARIO AUTODROMO,JORGE NEWBERY 9000,Organismo Municipal,30-99900315-6,BT,0,,,,,1440,3600,2420,7460,3280,,,,,,189141743
700000975,2019,1,ROSARIO,88,8050,2050,0,MUN. DE ROSARIO C.C.RIVADAVIA,SAN JUAN NO 1068,Organismo Municipal,30-99900315-6,BT,0,,,,,2320,3040,2480,7840,6640,,,,,,2625272
700002902,2019,1,ROSARIO,88,8050,519,0,MUN. DE ROSARIO PALACIO CHICO,MAIPU 835,Organismo Municipal,30-99900315-6,BT,0,,,,,834,6618,726,8178,4812,,,,,,2637809
700000969,2019,1,ROSARIO,96,8050,1835,0,MUN. DE ROSARIO PARQUE NIÑOS,PARQUE INDEPENDENCIA,Organismo Municipal,30-99900315-6,BT,0,,,,,2040,3480,2880,8400,1200,,,,,,274550037
700002086,2019,1,ROSARIO,88,8050,1169,0,MUN. DE ROSARIO SET. MONUMENTO,MON.A LA BANDERA SRA.G.GREPPI,Organismo Municipal,30-99900315-6,BT,0,,,,,2520,960,5340,8820,9540,,,,,,275609545
700003686,2019,1,ROSARIO,88,8050,1151,0,MUN DE ROS-SEC ECON SOC Y PROD,BUENOS AIRES 856,Organismo Municipal,30-99900315-6,BT,0,,,,,360,9000,720,10080,4800,,,,,,285089962
700003324,2019,1,ROSARIO,96,8050,1668,0,MCR RELLENO SANIT. INERTE,LAS PALMERAS 4815 PQ IND ROGIR,Procesamiento de Residuos Cloacales,30-99900315-6,BT,0,,,,,1770,5826,2748,10344,7506,,,,,,292967092
700002153,2019,1,ROSARIO,88,8050,1124,0,INSTITUTO MUN. DE PREV SOCIAL,SAN LORENZO 1055,Organismo Municipal,30-62801456-2,BT,0,,,,,540,9540,720,10800,1800,,,,,,294344975
700003216,2019,1,ROSARIO,88,8050,2501,0,MUN.DE ROSARIO BANCO,SANTA FE 1055,Banco o Entidad Financiera,,,,,,,,2070,8580,1020,11670,5550,,,,,,317963427
700000964,2019,1,ROSARIO,96,8050,1630,0,MUN. DE ROSARIO GRANJA INFAN.,PTE. PERON 8000,Organismo Municipal,30-99900315-6,BT,0,,,,,2460,8010,2610,13080,10320,,,,,,4859945
700002745,2019,1,ROSARIO,96,8050,1804,0,MUN. DE ROSARIO G.U.M.,ZEBALLOS 2800,Organismo Municipal,30-99900315-6,BT,0,,,,,2790,9120,3150,15060,3630,,,,,,344299303
700002895,2019,1,ROSARIO,96,8050,1012,0,MUN. DE ROSARIO SEC. CULTURA,AV. DEL VALLE 2600,Organismo Municipal,30-99900315-6,BT,0,,,,,2448,10620,2514,15582,6828,,,,,,5295124
700000983,2019,1,ROSARIO,88,8050,3443,0,MUN. DE ROSARIO PARQUE MERCADO,CEPEDA Y GUTIERREZ     ,Organismo Municipal,30-99900315-6,BT,0,,,,,6000,6120,5190,17310,10830,,,,,,376556264
700002835,2019,1,ROSARIO,88,8050,3818,0,MUN. DE ROSARIO  (ILAR),OCAMPO 1454,Hospital Publico,30-99900315-6,BT,0,,,,,2340,12600,2400,17340,10740,,,,,,5623942
700000952,2019,1,ROSARIO,89,8050,409,0,MUN. DE ROSARIO V. HORTENSIA,WARNES Y SUPERI,Organismo Municipal,30-99900315-6,BT,0,,,,,1800,18000,2220,22020,15180,,,,,,377512865
700000965,2019,1,ROSARIO,96,8050,1671,0,MUN. DE ROSARIO DISTRITO OESTE,AV.J PERON Y P ROSAS,Organismo Municipal,30-99900315-6,BT,0,,,,,2000,18400,2200,22600,15400,,,,,,5633280
700003284,2019,1,ROSARIO,89,8050,44,0,MUN. DE ROS. HOSPITAL ALBERDI,HERRERA 560,Hospital Publico,30-99900315-6,BT,0,,,,,4650,15996,4290,24936,12858,,,,,,386969183
700002152,2019,1,ROSARIO,88,8050,1007,0,MUN. DE ROSARIO ISLA DE INVEN-,PARAGUAY 000,Organismo Municipal,30-99900315-6,BT,0,,,,,20905,6097,3595,30597,7101,,,,,,419744012
700003025,2019,1,ROSARIO,96,8050,2422,0,MUN. DE ROSARIO DTO.S.O.,AV. FRANCIA 4400,Organismo Municipal,30-99900315-6,BT,0,,,,,1806,35568,2160,39534,24408,,,,,,6680160
700002760,2019,1,ROSARIO,89,8050,1338,0, MUN. DE ROSARIO DTO NOROESTE ,PERU E/JUNIN Y RAFAELA,Organismo Municipal,30-99900315-6,BT,0,,,,,7320,28920,7560,43800,29280,,,,,,471579796
700000962,2019,1,ROSARIO,88,8050,1203,0,MUN. DE ROSARIO EDIF. ADUANA,AV. BELGRANO  328,Organismo Municipal,30-99900315-6,BT,0,,,,,6000,47600,7200,60800,29200,,,,,,540449579
700002529,2019,1,ROSARIO,88,8050,3122,0,MUN. DE ROSARIO DISTRITO SUR,URIBURU 651,Organismo Municipal,30-99900315-6,BT,0,,,,,11780,39060,12980,63820,16500,,,,,,561642330
700000958,2019,1,ROSARIO,88,8050,1155,0,MUN. DE ROSARIO PALACIO MUNIC.,SANTA FE NO 659        ,Organismo Municipal,30-99900315-6,BT,0,,,,,10800,44400,10800,66000,23880,,,,,,901759643
700002523,2019,1,ROSARIO,88,8050,1006,0,MUN. DE ROSARIO DIST. CENTRO,AV. ILLIA Y CORRIENTES,Organismo Municipal,30-99900315-6,BT,0,,,,,10188,52512,4968,67668,41964,,,,,,906343949
700000976,2019,1,ROSARIO,88,8050,2127,0,BCO. MUNIC. ROSARIO,SAN MARTIN 738         ,Organismo Municipal,33-99918181-9,BT,0,,,,,14800,50200,10000,75000,20200,,,,,,908554200
700000982,2019,1,ROSARIO,88,8050,3265,0,MUN. DE ROSARIO HOSP,,,,,,,,,,19236,55596,19092,93924,69528,,,,,,909719387
700000966,2019,1,ROSARIO,96,8050,1808,0,MUN. DE ROSARIO HOSP.CARRASCO,RIO DE JANEIRO 1473,Hospital Publico,30-99900315-6,BT,0,,,,,17500,60820,17960,96280,62680,,,,,,
700000972,2019,1,ROSARIO,96,8050,1850,0,MUN. DE ROSARIO HOSP. V.VILELA,VIRASORO NO 1851       ,Hospital Publico,30-99900315-6,MT,13,,,,,40560,111480,36540,188580,123240,,,,,,
700000979,2019,1,ROSARIO,88,8050,2307,0,MUN. DE ROSARIO C.E.M.A.,SAN LUIS Y MORENO,Hospital Publico,30-99900315-6,MT,13,,,,,64440,188040,68880,321360,142560,,,,,,
700002828,2019,1,ROSARIO,96,8050,1814,0,MUN. DE ROSARIO NUEVO HECA,AV. PELLEGRINI 3205,Hospital Publico,30-99900315-6,MT,13,,,,,88080,230640,95760,414480,216240,,,,,,
,,,,,,,,,,Totales,,,,,,,,,,,,,,,,103321,673720,
